Entity,Year,Adoption (%)
Amazon Prime users,2014,11.13
Amazon Prime users,2015,17.09
Amazon Prime users,2016,24.58
Amazon Prime users,2017,32.51
Amazon Prime users,2018,36.58
Cable TV,1968,7.6
Cable TV,1969,8.7
Cable TV,1970,9.6
Cable TV,1971,11.1
Cable TV,1972,13.0
Cable TV,1973,15.5
Cable TV,1974,15.5
Cable TV,1975,16.7
Cable TV,1976,17.7
Cable TV,1977,18.97
Cable TV,1978,21.88
Cable TV,1979,28.32
Cable TV,1980,35.26
Cable TV,1981,40.4
Cable TV,1982,43.53
Cable TV,1983,45.94
Cable TV,1984,47.94
Cable TV,1985,50.32
Cable TV,1986,53.68
Cable TV,1987,57.26
Cable TV,1988,58.78
Cable TV,1989,59.05
Cable TV,1990,59.9
Cable TV,1991,60.9
Cable TV,1992,61.85
Cable TV,1993,63.6
Cable TV,1994,64.9
Cable TV,1995,65.27
Cable TV,1996,65.36
Cable TV,1997,65.07
Computer,1992,20.7
Computer,1998,42.0
Computer,2003,63.1
Computer,2005,67.1
Computer,2010,75.2
Computer,2011,76.7
Computer,2012,78.9
Computer,2013,83.8
Computer,2014,85.1
Computer,2015,86.8
Computer,2016,89.3
Dishwasher,1922,1.1
Dishwasher,1923,1.0
Dishwasher,1924,1.8
Dishwasher,1931,0.6
Dishwasher,1948,1.2
Dishwasher,1949,1.5
Dishwasher,1950,2.0
Dishwasher,1951,2.6
Dishwasher,1952,3.0
Dishwasher,1953,3.2
Dishwasher,1954,3.5
Dishwasher,1955,4.0
Dishwasher,1956,4.6
Dishwasher,1957,5.2
Dishwasher,1958,5.8
Dishwasher,1959,6.3
Dishwasher,1960,7.1
Dishwasher,1961,7.9
Dishwasher,1962,8.9
Dishwasher,1963,9.0
Dishwasher,1964,11.8
Dishwasher,1965,13.5
Dishwasher,1966,15.7
Dishwasher,1967,18.1
Dishwasher,1968,20.8
Dishwasher,1969,23.7
Dishwasher,1970,26.5
Dishwasher,1971,29.6
Dishwasher,1972,32.0
Dishwasher,1973,34.3
Dishwasher,1974,36.6
Dishwasher,1975,38.3
Dishwasher,1976,39.6
Dishwasher,1978,41.9
Dishwasher,1992,49.3
Dishwasher,1998,56.0
Dishwasher,2003,62.3
Dishwasher,2005,64.0
Dishwasher,2010,69.4
Dishwasher,2011,69.3
Electric power,1908,10.0
Electric power,1909,10.67
Electric power,1910,12.33
Electric power,1911,14.0
Electric power,1912,16.0
Electric power,1913,18.0
Electric power,1914,19.0
Electric power,1915,20.0
Electric power,1916,22.0
Electric power,1917,24.0
Electric power,1918,27.0
Electric power,1919,30.0
Electric power,1920,33.5
Electric power,1921,37.0
Electric power,1922,40.0
Electric power,1923,43.0
Electric power,1924,49.0
Electric power,1925,52.0
Electric power,1926,55.0
Electric power,1927,60.0
Electric power,1928,64.0
Electric power,1929,68.0
Electric power,1930,68.0
Electric power,1931,68.0
Electric power,1932,67.0
Electric power,1933,67.0
Electric power,1934,67.0
Electric power,1935,68.5
Electric power,1936,70.0
Electric power,1937,73.0
Electric power,1938,75.0
Electric power,1939,76.5
Electric power,1940,78.0
Electric power,1941,79.5
Electric power,1942,81.0
Electric power,1943,81.0
Electric power,1944,83.0
Electric power,1945,85.0
Electric power,1946,85.5
Electric power,1947,86.0
Electric power,1948,89.0
Electric power,1949,93.0
Electric power,1950,94.0
Electric power,1951,95.0
Electric power,1952,96.0
Electric power,1953,97.0
Electric power,1954,97.67
Electric power,1955,98.33
Electric power,1956,99.0
Electric power,1957,99.0
Electric power,1958,99.0
Electric power,1959,99.0
Electric power,1960,99.0
Electric power,1961,99.0
Electric power,1962,99.0
Electric power,1963,99.0
Electric power,1964,99.0
Electric power,1965,99.0
Electric power,1966,99.0
Electric power,1967,99.0
Electric power,1968,99.0
Electric power,1969,99.0
Electric power,1970,99.0
Electric power,1971,99.0
Electric power,1972,99.0
Electric power,1973,99.0
Electric power,1974,99.0
Electric power,1975,99.0
Electric power,1976,99.0
Electric power,1977,99.0
Electric power,1978,99.0
Electric power,1979,99.0
Electric power,1980,99.0
Electric power,1981,99.0
Electric power,1982,99.0
Electric power,1983,99.0
Electric power,1984,99.0
Electric power,1985,99.0
Electric power,1986,99.0
Electric power,1987,99.0
Electric power,1988,99.0
Electric power,1989,99.0
Electric power,1990,99.0
Electric power,1991,99.0
Electric power,1992,99.0
Electric power,1993,99.0
Electric power,1994,99.0
Electric power,1995,99.0
Electric power,1996,99.0
Electric power,1997,99.0
Electric power,1998,99.0
Electric power,1999,99.0
Electric power,2000,99.0
Electric power,2001,99.0
Electric power,2002,99.0
Electric power,2003,99.0
Electric power,2004,99.0
Electric power,2005,99.0
Households with only mobile phones (no landlines),2013,40.0
Households with only mobile phones (no landlines),2014,45.3
Households with only mobile phones (no landlines),2015,50.6
Households with only mobile phones (no landlines),2016,52.7
Households with only mobile phones (no landlines),2017,54.0
Households with only mobile phones (no landlines),2018,54.9
Internet,1993,10.0
Internet,1994,11.0
Internet,1995,13.0
Internet,1996,16.0
Internet,1997,19.0
Internet,1998,25.0
Internet,1999,34.0
Internet,2000,42.0
Internet,2001,49.0
Internet,2002,52.0
Internet,2003,54.0
Internet,2004,57.0
Internet,2005,61.0
Internet,2006,62.0
Internet,2007,65.0
Internet,2008,68.0
Internet,2009,70.0
Internet,2010,74.0
Internet,2011,76.0
Internet,2012,81.0
Internet,2013,82.0
Internet,2014,83.0
Internet,2015,85.0
Internet,2016,88.0
Landline,1903,10.0
Landline,1904,12.0
Landline,1905,14.0
Landline,1906,18.0
Landline,1907,19.5
Landline,1908,21.0
Landline,1909,23.0
Landline,1910,24.5
Landline,1911,26.0
Landline,1912,27.0
Landline,1913,28.0
Landline,1914,29.0
Landline,1915,30.0
Landline,1916,31.0
Landline,1917,32.0
Landline,1918,33.0
Landline,1919,34.0
Landline,1920,34.0
Landline,1921,35.0
Landline,1922,35.0
Landline,1923,37.0
Landline,1924,37.0
Landline,1925,38.0
Landline,1926,39.0
Landline,1927,39.0
Landline,1928,41.0
Landline,1929,41.0
Landline,1930,39.5
Landline,1931,38.0
Landline,1932,35.0
Landline,1933,32.0
Landline,1934,31.0
Landline,1935,32.0
Landline,1936,33.0
Landline,1937,34.0
Landline,1938,34.5
Landline,1939,35.0
Landline,1940,37.0
Landline,1941,39.0
Landline,1942,41.5
Landline,1943,44.0
Landline,1944,45.0
Landline,1945,46.0
Landline,1946,50.0
Landline,1947,54.0
Landline,1948,58.0
Landline,1949,60.0
Landline,1950,62.0
Landline,1951,63.5
Landline,1952,65.0
Landline,1953,67.5
Landline,1954,70.0
Landline,1955,71.67
Landline,1956,73.33
Landline,1957,75.0
Landline,1958,76.5
Landline,1959,78.0
Landline,1960,78.5
Landline,1961,79.0
Landline,1962,80.0
Landline,1963,81.0
Landline,1964,82.0
Landline,1965,85.0
Landline,1966,86.0
Landline,1967,87.0
Landline,1968,88.5
Landline,1969,90.0
Landline,1970,87.0
Landline,1971,87.5
Landline,1972,88.0
Landline,1973,88.67
Landline,1974,89.33
Landline,1975,90.0
Landline,1976,90.5
Landline,1977,91.0
Landline,1978,91.5
Landline,1979,92.0
Landline,1980,92.5
Landline,1981,93.0
Landline,1982,92.5
Landline,1983,92.0
Landline,1984,92.0
Landline,1985,92.0
Landline,1986,92.25
Landline,1987,92.5
Landline,1988,92.75
Landline,1989,93.0
Landline,1990,93.5
Landline,1991,94.0
Landline,1992,94.0
Landline,1993,94.0
Landline,1994,94.0
Landline,1995,94.0
Landline,1996,94.0
Landline,1997,94.0
Landline,1998,94.0
Landline,1999,94.0
Landline,2000,94.0
Landline,2001,94.5
Landline,2002,95.0
Landline,2003,94.0
Landline,2004,93.0
Landline,2005,92.0
Landline,2009,83.0
Landline,2010,75.0
Landline,2011,70.5
Landline,2012,75.0
Landline,2013,58.7
Landline,2014,57.3
Landline,2015,54.7
Landline,2016,50.7
Landline,2017,46.7
Landline,2018,41.7
Microwave,1975,3.0
Microwave,1980,7.0
Microwave,1982,20.0
Microwave,1983,34.0
Microwave,1986,60.0
Microwave,1992,82.2
Microwave,1998,90.7
Microwave,2003,95.9
Microwave,2005,96.4
Microwave,2010,97.1
Microwave,2011,96.8
Microwave,2012,96.0
Microwave,2013,95.2
Microwave,2014,94.4
Microwave,2015,93.6
Microwave,2016,92.8
Microwave,2017,92.0
Refrigerator,1925,1.0
Refrigerator,1926,2.4
Refrigerator,1927,4.3
Refrigerator,1928,6.4
Refrigerator,1929,9.4
Refrigerator,1930,12.8
Refrigerator,1931,17.1
Refrigerator,1932,21.6
Refrigerator,1933,24.7
Refrigerator,1934,29.3
Refrigerator,1935,34.2
Refrigerator,1936,41.1
Refrigerator,1937,49.4
Refrigerator,1938,51.7
Refrigerator,1939,56.0
Refrigerator,1940,63.0
Refrigerator,1941,72.0
Refrigerator,1942,71.8
Refrigerator,1943,70.9
Refrigerator,1944,69.6
Refrigerator,1945,67.5
Refrigerator,1946,69.1
Refrigerator,1947,71.2
Refrigerator,1948,76.6
Refrigerator,1949,79.2
Refrigerator,1950,86.4
Refrigerator,1951,86.7
Refrigerator,1952,89.2
Refrigerator,1953,90.4
Refrigerator,1954,92.4
Refrigerator,1955,94.1
Refrigerator,1956,96.0
Refrigerator,1957,97.3
Refrigerator,1958,97.7
Refrigerator,1959,98.0
Refrigerator,1960,98.2
Refrigerator,1961,98.3
Refrigerator,1962,99.5
Refrigerator,1963,99.1
Refrigerator,1964,99.3
Refrigerator,1965,99.5
Refrigerator,1966,99.6
Refrigerator,1967,99.7
Refrigerator,1968,99.8
Refrigerator,1969,99.8
Refrigerator,1970,99.8
Refrigerator,1971,99.8
Refrigerator,1972,99.9
Refrigerator,1973,99.9
Refrigerator,1974,99.9
Refrigerator,1975,99.9
Refrigerator,1976,99.8
Refrigerator,1978,99.7
Smartphone usage,2011,35.0
Smartphone usage,2012,45.0
Smartphone usage,2013,54.0
Smartphone usage,2014,57.0
Smartphone usage,2015,68.0
Smartphone usage,2016,73.0
Smartphone usage,2017,73.0
Smartphone usage,2018,77.0
Smartphone usage,2019,81.0
Social media usage,2005,5.0
Social media usage,2006,11.0
Social media usage,2007,15.0
Social media usage,2008,21.0
Social media usage,2009,37.0
Social media usage,2010,48.0
Social media usage,2011,50.0
Social media usage,2012,59.0
Social media usage,2013,63.0
Social media usage,2014,62.0
Social media usage,2015,65.0
Social media usage,2016,69.0
Social media usage,2017,80.0
Social media usage,2018,77.0
Social media usage,2019,79.0
Tablet,2010,3.0
Tablet,2011,10.0
Tablet,2012,25.0
Tablet,2013,34.0
Tablet,2014,39.0
Tablet,2015,45.0
Tablet,2016,51.0
Tablet,2017,64.0
Videocassette recorder,1992,73.8
Videocassette recorder,1998,85.2
Videocassette recorder,2003,90.0
Videocassette recorder,2005,92.2
Videocassette recorder,2010,92.1
Videocassette recorder,2011,90.9
